Store-24 ; Order-637 ;         1.00
Store-24 ; Order-638 ;         1.00
Store-24 ; Order-639 ;         1.00
Store-24 ; Order-640 ;         1.00
Store-24 ; Order-641 ;         1.00
Store-24 ; Order-642 ;         1.00
Store-24 ; Order-643 ;         1.00
Store-24 ; Order-644 ;         1.00
Store-24 ; Order-645 ;         1.00
Store-24 ; Order-646 ;         1.00
Store-24 ; Order-647 ;         1.00
Store-24 ; Order-648 ;         1.00
Store-24 ; Order-649 ;         1.00
Store-24 ; Order-650 ;         1.00
Store-24 ; Order-651 ;         1.00
